#RIC,Date-Time,Price,Volume,Numberoftrades,Bidprice,Ask Price,NumberofBid,NumberofAsk,Depth,Spread,,,
AAPL.OQ,2014-07-10T19:00:00.000000000Z,95.035,1156290,8850,95.03,95.04,169669,169669,339338,0.01,,,95.035
AAPL.OQ,2014-07-10T20:00:00.000000000Z,94.92,796395,116,94.92,94.98,240,240,480,0.06,,,94.92
AAPL.OQ,2014-07-10T21:00:00.000000000Z,94.88,2755,17,94.86,94.97,182,182,364,0.11,,,94.88
AAPL.OQ,2014-07-10T22:00:00.000000000Z,94.88,4975,24,94.8,94.97,145,145,290,0.17,,,94.88
AAPL.OQ,2014-07-10T23:00:00.000000000Z,94.87,1589,12,94.53,95.03,142,142,284,0.5,,,94.87
AAPL.OQ,2014-07-11T08:00:00.000000000Z,95.23,1312,8,95.2,95.25,36,36,72,0.05,,,95.23
AAPL.OQ,2014-07-11T09:00:00.000000000Z,95.24,1600,6,95.17,95.75,22,22,44,0.58,,,95.24
AAPL.OQ,2014-07-11T10:00:00.000000000Z,95.34,1230,5,95.2,95.75,112,112,224,0.55,,,95.34
AAPL.OQ,2014-07-11T11:00:00.000000000Z,95.17,3503,20,95.15,95.28,113,113,226,0.13,,,95.17
AAPL.OQ,2014-07-11T12:00:00.000000000Z,95.23,27268,101,95.12,95.26,252,252,504,0.14,,,95.23
AAPL.OQ,2014-07-11T13:00:00.000000000Z,95.3,1738132,8666,95.3,95.31,148193,148193,296386,0.01,,,95.3
AAPL.OQ,2014-07-11T14:00:00.000000000Z,95.67,1191117,8473,95.66,95.68,110764,110764,221528,0.02,,,95.67
AAPL.OQ,2014-07-11T15:00:00.000000000Z,95.34,702496,4779,95.33,95.34,61006,61006,122012,0.01,,,95.34
AAPL.OQ,2014-07-11T16:00:00.000000000Z,95.02,523263,3866,95.02,95.03,38016,38016,76032,0.01,,,95.02
AAPL.OQ,2014-07-11T17:00:00.000000000Z,95.005,516623,4246,95,95.01,34215,34215,68430,0.01,,,95.005
AAPL.OQ,2014-07-11T18:00:00.000000000Z,95.06,645724,5180,95.05,95.06,46271,46271,92542,0.01,,,95.06
AAPL.OQ,2014-07-11T19:00:00.000000000Z,95.22,1545401,8736,95.21,95.23,138038,138038,276076,0.02,,,95.22
AAPL.OQ,2014-07-11T20:00:00.000000000Z,95.29,1729163,70,95.26,95.3,150,150,300,0.04,,,95.29
AAPL.OQ,2014-07-11T21:00:00.000000000Z,95.27,12202,26,95.22,95.32,35,35,70,0.1,,,95.27
AAPL.OQ,2014-07-11T22:00:00.000000000Z,95.28,800,6,95.26,95.28,23,23,46,0.02,,,95.28
AAPL.OQ,2014-07-11T23:00:00.000000000Z,95.3,6334,25,95.3,95.31,149,149,298,0.01,,,95.3
AAPL.OQ,2014-07-14T08:00:00.000000000Z,96.41,6467,24,96.33,96.49,782,782,1564,0.16,,,96.41
AAPL.OQ,2014-07-14T09:00:00.000000000Z,96.34,8682,10,96.24,96.29,178,178,356,0.05,,,96.34
AAPL.OQ,2014-07-14T10:00:00.000000000Z,96.18,5876,27,96.11,96.22,75,75,150,0.11,,,96.18
AAPL.OQ,2014-07-14T11:00:00.000000000Z,96.16,37805,120,96.05,96.2,218,218,436,0.15,,,96.16
AAPL.OQ,2014-07-14T12:00:00.000000000Z,95.91,76953,295,95.92,95.95,581,581,1162,0.03,,,95.91
AAPL.OQ,2014-07-14T13:00:00.000000000Z,96.4,2348257,9696,96.39,96.41,67676,67676,135352,0.02,,,96.4
AAPL.OQ,2014-07-14T14:00:00.000000000Z,96.34,1228131,9438,96.34,96.35,92788,92788,185576,0.01,,,96.34
AAPL.OQ,2014-07-14T15:00:00.000000000Z,96.63,1275526,7556,96.63,96.64,128580,128580,257160,0.01,,,96.63
AAPL.OQ,2014-07-14T16:00:00.000000000Z,96.6,802199,5189,96.6,96.61,105528,105528,211056,0.01,,,96.6
AAPL.OQ,2014-07-14T17:00:00.000000000Z,96.69,618042,3998,96.68,96.69,67398,67398,134796,0.01,,,96.69
AAPL.OQ,2014-07-14T18:00:00.000000000Z,96.71,655077,4196,96.7,96.71,74159,74159,148318,0.01,,,96.71
AAPL.OQ,2014-07-14T19:00:00.000000000Z,96.46,1348628,9151,96.44,96.46,134795,134795,269590,0.02,,,96.46
AAPL.OQ,2014-07-14T20:00:00.000000000Z,96.45,1103205,87,96.4,96.49,268,268,536,0.09,,,96.45
AAPL.OQ,2014-07-14T21:00:00.000000000Z,96.51,12242,57,96.5,96.55,147,147,294,0.05,,,96.51
AAPL.OQ,2014-07-14T22:00:00.000000000Z,96.56,2164,16,96.52,96.59,86,86,172,0.07,,,96.56
AAPL.OQ,2014-07-14T23:00:00.000000000Z,96.62,11780,47,96.6,96.62,121,121,242,0.02,,,96.62
AAPL.OQ,2014-07-15T08:00:00.000000000Z,96.67,5985,29,96.31,96.88,58,58,116,0.57,,,96.67
AAPL.OQ,2014-07-15T09:00:00.000000000Z,96.67,645,4,96.68,96.71,11,11,22,0.03,,,96.67
AAPL.OQ,2014-07-15T10:00:00.000000000Z,96.62,1188,8,96.61,96.7,133,133,266,0.09,,,96.62
AAPL.OQ,2014-07-15T11:00:00.000000000Z,96.85,6248,34,96.8,96.9,274,274,548,0.1,,,96.85
AAPL.OQ,2014-07-15T12:00:00.000000000Z,96.8,47194,184,96.75,96.84,394,394,788,0.09,,,96.8
AAPL.OQ,2014-07-15T13:00:00.000000000Z,96.43,1642970,7150,96.42,96.44,68710,68710,137420,0.02,,,96.43
AAPL.OQ,2014-07-15T14:00:00.000000000Z,95.6,1750613,10136,95.6,95.61,110846,110846,221692,0.01,,,95.6
AAPL.OQ,2014-07-15T15:00:00.000000000Z,95.24,1026653,7268,95.24,95.25,90053,90053,180106,0.01,,,95.24
AAPL.OQ,2014-07-15T16:00:00.000000000Z,95.57,830876,6142,95.57,95.58,73745,73745,147490,0.01,,,95.57
AAPL.OQ,2014-07-15T17:00:00.000000000Z,95.51,594525,4459,95.5,95.51,59656,59656,119312,0.01,,,95.51
AAPL.OQ,2014-07-15T18:00:00.000000000Z,95.52,569345,4285,95.51,95.52,120495,120495,240990,0.01,,,95.52
AAPL.OQ,2014-07-15T19:00:00.000000000Z,95.31,1325462,7245,95.31,95.32,127561,127561,255122,0.01,,,95.31
AAPL.OQ,2014-07-15T20:00:00.000000000Z,96.88,3034445,1265,96.86,96.89,1858,1858,3716,0.03,,,96.88
AAPL.OQ,2014-07-15T21:00:00.000000000Z,96.75,143956,454,96.74,96.77,794,794,1588,0.03,,,96.75
AAPL.OQ,2014-07-15T22:00:00.000000000Z,96.77,71209,356,96.76,96.78,710,710,1420,0.02,,,96.77
AAPL.OQ,2014-07-15T23:00:00.000000000Z,96.8,38654,220,96.79,96.81,580,580,1160,0.02,,,96.8
AAPL.OQ,2014-07-16T08:00:00.000000000Z,96.99,7140,28,96.99,97.08,500,500,1000,0.09,,,96.99
AAPL.OQ,2014-07-16T09:00:00.000000000Z,97.27,3373,17,97.29,97.44,58,58,116,0.15,,,97.27
AAPL.OQ,2014-07-16T10:00:00.000000000Z,97.5,12654,75,97.45,97.54,371,371,742,0.09,,,97.5
AAPL.OQ,2014-07-16T11:00:00.000000000Z,97.62,79601,276,97.59,97.72,620,620,1240,0.13,,,97.62
AAPL.OQ,2014-07-16T12:00:00.000000000Z,97.35,161654,980,97.34,97.35,1582,1582,3164,0.01,,,97.35
AAPL.OQ,2014-07-16T13:00:00.000000000Z,96.37,3192543,14285,96.36,96.37,109667,109667,219334,0.01,,,96.37
AAPL.OQ,2014-07-16T14:00:00.000000000Z,96.16,1441249,10030,96.15,96.16,95503,95503,191006,0.01,,,96.16
AAPL.OQ,2014-07-16T15:00:00.000000000Z,96.365,922388,6570,96.36,96.37,73703,73703,147406,0.01,,,96.365
AAPL.OQ,2014-07-16T16:00:00.000000000Z,96.23,610562,4364,96.22,96.23,111361,111361,222722,0.01,,,96.23
AAPL.OQ,2014-07-16T17:00:00.000000000Z,96.02,748879,5175,96.02,96.03,57086,57086,114172,0.01,,,96.02
AAPL.OQ,2014-07-16T18:00:00.000000000Z,95.87,673754,4626,95.87,95.88,48441,48441,96882,0.01,,,95.87
AAPL.OQ,2014-07-16T19:00:00.000000000Z,94.78,2995743,14829,94.77,94.78,182311,182311,364622,0.01,,,94.78
AAPL.OQ,2014-07-16T20:00:00.000000000Z,95.1,1277740,375,95.08,95.09,930,930,1860,0.01,,,95.1
AAPL.OQ,2014-07-16T21:00:00.000000000Z,95.01,20600,102,95,95.05,229,229,458,0.05,,,95.01
AAPL.OQ,2014-07-16T22:00:00.000000000Z,94.96,2683,21,94.96,94.99,48,48,96,0.03,,,94.96
AAPL.OQ,2014-07-16T23:00:00.000000000Z,94.8,9532,47,94.78,94.82,81,81,162,0.04,,,94.8
AAPL.OQ,2014-07-17T08:00:00.000000000Z,94.89,1000,2,94.92,97.41,17,17,34,2.49,,,94.89
AAPL.OQ,2014-07-17T09:00:00.000000000Z,94.9,2179,12,94.3,94.9,35,35,70,0.6,,,94.9
AAPL.OQ,2014-07-17T10:00:00.000000000Z,94.54,1952,21,94.4,94.55,154,154,308,0.15,,,94.54
AAPL.OQ,2014-07-17T11:00:00.000000000Z,94.53,5438,38,94.51,94.68,413,413,826,0.17,,,94.53
AAPL.OQ,2014-07-17T12:00:00.000000000Z,94.98,45380,308,94.96,94.99,790,790,1580,0.03,,,94.98
AAPL.OQ,2014-07-17T13:00:00.000000000Z,94.72,1846492,9663,94.71,94.72,89759,89759,179518,0.01,,,94.72
AAPL.OQ,2014-07-17T14:00:00.000000000Z,94.64,1793037,11041,94.64,94.65,115178,115178,230356,0.01,,,94.64
